slot,proposerIndex,graffiti
359479,61823,
359480,3100,ALICE!
359481,30688,poapqFgrWg9hW8Idd4BhhVcEK+YLMu0A
359482,50704,🐠Welcome to the New Beginning
359483,520,poapXOJZrtzRQDitLDXsqntrKXTTOawB
359484,61344,
359485,36942,
359486,7212,teku/v21.1.0
359487,35906,poapYilEaOkZ1h0Fn1mF6U1X7tEx4UgC
359489,43497,
359490,19667,
359491,35537,
359492,53520,
359493,60117,Powered by ⚡️Allnodes
359494,43770,<yourgraffiti>
359495,17816,teku/v20.12.1
359496,37111,
359497,22611,
359498,26055,
359499,20904,
359500,56768,teku/v20.12.1
359501,56182,
359502,13799,
359503,35379,
359504,24413,
359505,21057,🐠Welcome to the New Beginning
359506,6138,teku/v21.1.0
359507,26227,teku/v20.12.1
359508,49599,🐠Welcome to the New Beginning
359509,8764,validating_from_DAppNode
359510,64985,teku/v20.12.1
359511,16094,
359512,18978,ShowMeTheEther
359513,55527,
359514,35713,
359515,19988,bitcoinsuisse.com
359516,15308,
359517,26674,
359518,7980,
359519,30772,
359520,31392,
359522,63810,teku/v20.12.1
359523,38741,
359524,57608,teku/v20.12.1
359525,6799,teku/v21.1.0
359526,17651,
359527,1042,
359528,38285,
359529,6743,rhino21
359530,53819,
359531,28974,
359532,12912,poapGTvZC2jrHfJNnFLXiWBxe14uybsA
359533,34125,
359534,28370,
359535,297,
359536,20940,
359537,50260,
359538,41593,huobipool
359539,18625,🍦 C.R.E.A.M. @ TW 🇹🇼
359540,10402,bitcoinsuisse.com
359541,41473,huobipool
359542,18897,
359543,30848,
359544,11623,pseudonymous coward
359545,25395,poapqFgrWg9hW8Idd4BhhVcEK+YLMu0A
359546,32949,
359547,62523,
359548,30261,
359549,38232,
359550,18883,
359551,7530,
359552,27494,
359553,24937,
359554,45202,
359555,48273,
359556,18042,teku/v20.12.1
359557,56248,
359558,62326,
359559,4791,prylabs-validator-9
359560,51617,
359561,61729,
359562,11167,Powered by Stkr
359563,36302,graffiti
359564,35493,"Jake Sucks"
359565,40799,
359566,47388,
359567,23427,
359568,25085,
359569,19811,
359570,14897,🐠Welcome to the New Beginning
359571,1957,teku/v21.1.0
359572,32217,
359573,30182,
359574,35815,
359575,28230,Those nice lesbians next door :)
359576,61256,
359577,34059,
359578,6253,Got another one. w00tw00t!!
359579,6705,teku/v21.1.0
359580,47745,teku/v20.12.0
359581,36243,
359582,18368,
359583,60725,Lighthouse/v1.0.5-9ed65a6
359584,27172,
359585,63041,huobipool
359586,26286,teku/v20.12.1
359587,37922,
359588,6072,poapCaavD+SMnu8IFE+z8uR9VAl7qmsC
359589,16662,poapS4BEjbW0eoorkvRtnBWQ26GFNLAB
359590,20243,
359591,49086,
359592,27667,
359593,58689,
359594,37364,
359595,52555,
359596,3415,bitcoinsuisse.com
359597,52708,Lighthouse/v1.0.5-9ed65a6
359598,1278,The owls are not what they seem
359599,42389,
359600,9640,bitcoinsuisse.com
359601,8888,Permission Granted
359602,65210,teku/v20.12.1
359603,11623,pseudonymous coward
359604,19802,
359605,8937,Lighthouse/v1.0.6-f183af2
359606,7156,TETRANODE
359607,25403,poapqFgrWg9hW8Idd4BhhVcEK+YLMu0A
359608,61845,
359609,1978,
359610,27553,
359611,14170,
359612,59857,Powered by Stkr
359613,29432,SpangBit
359614,24098,
359615,63993,teku/v20.12.1
359616,33660,
359617,65772,
359618,43593,
359619,5387,bitcoinsuisse.com
359620,4489,Lighthouse/v1.0.3-65dcdc3
359621,21672,poapLqlsMcYfn/8nV2T1e/kQkJYnFRMA
359622,33978,
359623,18269,
359624,45957,
359625,49357,
359626,26176,Lighthouse/v1.0.6-f183af2
359627,39536,Lighthouse/v1.0.4-1abc70e
359628,39694,
359629,1351,Lighthouse/v1.0.5-9ed65a6
359630,55099,
359631,5258,bitcoinsuisse.com
359632,31032,
359633,33833,
359634,38217,
359635,34103,Freedom for all
359636,4,🎉 Ethereum 2.0 🎉
359637,15093,
359638,48383,bitcoinsuisse.com
359639,63813,teku/v20.12.1
